"Quarter","Origin","Arrivals"
4018,"Japan",14763
4108,"Japan",9321
4199,"Japan",10166
4291,"Japan",19509
4383,"Japan",17117
4473,"Japan",10617
4564,"Japan",11737
4656,"Japan",20961
4748,"Japan",20671
4838,"Japan",12235
4929,"Japan",14567
5021,"Japan",24363
5113,"Japan",23169
5204,"Japan",16296
5295,"Japan",18504
5387,"Japan",29938
5479,"Japan",30240
5569,"Japan",20280
5660,"Japan",20908
5752,"Japan",36169
5844,"Japan",37989
5934,"Japan",32366
6025,"Japan",28131
6117,"Japan",47150
6209,"Japan",51736
6299,"Japan",38254
6390,"Japan",53807
6482,"Japan",71807
6574,"Japan",80300
6665,"Japan",79596
6756,"Japan",88708
6848,"Japan",103738
6940,"Japan",94172
7030,"Japan",76462
7121,"Japan",88393
7213,"Japan",90527
7305,"Japan",119654
7395,"Japan",106965
7486,"Japan",128472
7578,"Japan",124773
7670,"Japan",119638
7760,"Japan",115049
7851,"Japan",140470
7943,"Japan",153436
8035,"Japan",166732
8126,"Japan",141886
8217,"Japan",160455
8309,"Japan",160807
8401,"Japan",178466
8491,"Japan",151904
8582,"Japan",168131
8674,"Japan",172358
8766,"Japan",191367
8856,"Japan",158207
8947,"Japan",183289
9039,"Japan",188273
9131,"Japan",196480
9221,"Japan",174307
9312,"Japan",214067
9404,"Japan",197850
9496,"Japan",227335
9587,"Japan",174325
9678,"Japan",219347
9770,"Japan",192137
9862,"Japan",223640
9952,"Japan",167269
10043,"Japan",227641
10135,"Japan",195350
10227,"Japan",205468
10317,"Japan",168520
10408,"Japan",200860
10500,"Japan",176235
10592,"Japan",193822
10682,"Japan",154860
10773,"Japan",188080
10865,"Japan",170689
10957,"Japan",192023
11048,"Japan",154701
11139,"Japan",182130
11231,"Japan",192135
11323,"Japan",193645
11413,"Japan",156303
11504,"Japan",186861
11596,"Japan",136748
11688,"Japan",177263
11778,"Japan",158357
11869,"Japan",183821
11961,"Japan",196006
12053,"Japan",176132
12143,"Japan",102633
12234,"Japan",156396
12326,"Japan",192591
12418,"Japan",185175
12509,"Japan",153363
12600,"Japan",181659
12692,"Japan",190143
12784,"Japan",193547
12874,"Japan",135461
12965,"Japan",176242
13057,"Japan",180085
13149,"Japan",189187
13239,"Japan",128919
13330,"Japan",163649
13422,"Japan",169314
13514,"Japan",165823
13604,"Japan",111484
13695,"Japan",149065
13787,"Japan",146673
13879,"Japan",136544
13970,"Japan",88879
14061,"Japan",121951
14153,"Japan",109858
14245,"Japan",106123
14335,"Japan",65748
14426,"Japan",88371
14518,"Japan",95214
14610,"Japan",109072
14700,"Japan",71253
14791,"Japan",117876
14883,"Japan",99987
14975,"Japan",92889
15065,"Japan",53397
15156,"Japan",96467
15248,"Japan",89900
15340,"Japan",98180
15431,"Japan",59760
15522,"Japan",101900
4018,"NZ",49140
4108,"NZ",87467
4199,"NZ",85841
4291,"NZ",61882
4383,"NZ",42045
4473,"NZ",63081
4564,"NZ",73275
4656,"NZ",54808
4748,"NZ",41030
4838,"NZ",56155
4929,"NZ",69395
5021,"NZ",58423
5113,"NZ",37039
5204,"NZ",71564
5295,"NZ",71260
5387,"NZ",54597
5479,"NZ",41646
5569,"NZ",63668
5660,"NZ",67803
5752,"NZ",72177
5844,"NZ",55192
5934,"NZ",89073
6025,"NZ",97746
6117,"NZ",94696
6209,"NZ",71130
6299,"NZ",111416
6390,"NZ",127619
6482,"NZ",117078
6574,"NZ",90498
6665,"NZ",135435
6756,"NZ",176899
6848,"NZ",131457
6940,"NZ",83029
7030,"NZ",111748
7121,"NZ",128509
7213,"NZ",126021
7305,"NZ",75584
7395,"NZ",109472
7486,"NZ",122164
7578,"NZ",111222
7670,"NZ",90067
7760,"NZ",114050
7851,"NZ",152662
7943,"NZ",123821
8035,"NZ",75376
8126,"NZ",107369
