"Month","Volume"
-3653,1.4306
-3622,1.3059
-3593,1.4022
-3562,1.1699
-3532,1.1161
-3501,1.0113
-3471,0.966
-3440,0.9773
-3409,1.0311
-3379,1.2521
-3348,1.4419
-3318,1.5637
-3287,1.745
-3256,1.5835
-3228,1.677
-3197,1.5155
-3167,1.4051
-3136,1.2464
-3106,1.2238
-3075,1.2917
-3044,1.3541
-3014,1.5552
-2983,1.7648
-2953,2.2549
-2922,2.4164
-2891,2.3484
-2863,2.3852
-2832,2.0651
-2802,2.0594
-2771,1.9263
-2741,1.9631
-2710,2.0396
-2679,2.1104
-2649,2.3427
-2618,2.422
-2588,2.8554
-2557,3.0566
-2526,2.6798
-2498,2.8101
-2467,2.5863
-2437,2.4674
-2406,2.2407
-2376,2.2662
-2345,2.2889
-2314,2.4305
-2284,2.6345
-2253,2.9716
-2223,3.2577
-2192,3.4872
-2161,3.2322
-2132,3.2464
-2101,3.1104
-2071,2.8838
-2040,2.592
-2010,2.6996
-1979,2.796
-1948,2.796
-1918,3.0736
-1887,3.3399
-1857,4.0565
-1826,3.9007
-1795,3.4787
-1767,3.7563
-1736,3.3172
-1706,3.2549
-1675,3.0311
-1645,2.8186
-1614,3.0792
-1583,3.1217
-1553,3.3937
-1522,3.6911
-1492,4.099
-1461,4.3342
-1430,3.6911
-1402,3.9347
-1371,3.5976
-1341,3.4985
-1310,3.201
-1280,3.1812
-1249,3.2095
-1218,3.1019
-1188,3.7704
-1157,4.15
-1127,4.3483
-1096,4.5211
-1065,3.9546
-1037,4.3087
-1006,3.9829
-976,3.9121
-945,3.4418
-915,3.4588
-884,3.6855
-853,3.6061
-823,4.0509
-792,4.2888
-762,4.8894
-731,4.9942
-700,4.6401
-671,4.7761
-640,4.3795
-610,4.116
-579,3.9546
-549,3.8073
-518,4.1217
-487,4.0622
-457,4.7053
-426,5.0848
-396,5.6457
-365,5.7194
-334,5.218
-306,5.6344
-275,5.252
-245,4.7251
-214,4.2265
-184,4.4531
-153,4.7619
-122,4.9404
-92,5.4135
-61,5.8582
-31,6.1981
0,6.4474
31,5.8412
59,6.4701
90,6.065
120,5.7449
151,4.9942
181,5.1443
212,5.388
243,5.7222
273,6.1216
304,6.623
334,7.2718
365,7.1953
396,6.3624
424,7.0735
455,6.4163
485,6.167
516,5.5069
546,5.8837
577,5.9149
608,6.0962
638,6.5239
669,6.7958
699,7.6995
730,7.8751
761,7.6768
790,7.8581
821,7.3596
851,7.1273
882,6.8497
912,6.963
943,7.0735
974,7.3567
1004,8.1669
1035,8.3142
1065,8.9686
1096,9.0224
1127,8.1811
1155,8.759
1186,8.2009
1216,7.725
1247,7.3397
1277,7.5012
1308,7.7788
1339,7.7562
1369,8.5947
1400,8.8666
1430,9.1641
1461,9.0422
1492,8.0621
1520,8.8666
1551,8.2462
1581,7.8751
1612,7.3284
1642,7.4672
1673,7.7618
1704,7.2151
1734,8.1159
1765,8.2717
1795,8.8383
1826,8.8185
1857,7.9176
1885,8.8751
1916,8.1839
1946,7.776
1977,7.4927
2007,7.8808
2038,7.5437
2069,7.3681
2099,8.2009
2130,8.4785
2160,9.0394
2191,9.0394
2222,8.4332
2251,8.9289
2282,8.2406
2312,7.9828
2343,7.5324
2373,7.4417
2404,7.2774
2435,7.065
2465,8.3284
2496,8.5947
2526,9.2094
2557,9.4275
2588,8.436
2616,9.3907
2647,8.5975
2677,8.4672
2708,7.6287
2738,7.4927
2769,7.7193
2800,7.8751
2830,8.4757
2861,9.0111
2891,9.9147
2922,9.8836
2953,8.5493
2981,8.9176
3012,8.2066
3042,7.6315
3073,6.9885
3103,7.3794
3134,7.5154
3165,7.2094
3195,8.1301
3226,9.1414
3256,10.079
3287,10.3861
3318,9.2797
3346,9.3695
3377,9.0704
3407,8.4779
3438,7.8664
3468,7.9503
3499,7.7068
3530,7.2012
3560,8.8276
3591,9.2797
3621,10.1472
3652,10.4667
3683,8.8772
3712,9.28
3743,7.7422
3773,7.634
3804,6.8241
3834,6.96
3865,7.0926
3896,6.8148
3926,8.0561
3957,8.9385
3987,10.0549
4018,9.7207
4049,8.834
4077,8.8871
4108,8.0279
4138,7.309
4169,7.0312
4199,7.1871
4230,6.944
4261,7.0846
4291,8.2945
4322,8.6364
4352,9.8766
4383,10.5737
4414,9.1005
4442,9.1274
4473,8.1889
4503,7.3363
4534,6.9345
4564,6.8699
4595,6.8529
4626,6.8667
4656,7.9197
4687,9.0446
4717,9.9246
4748,9.8926
4779,8.5378
4807,8.4436
4838,7.6013
4868,6.9464
4899,6.4744
4929,6.5638
4960,6.5996
4991,7.0979
5021,7.8357
5052,8.7917
5082,10.7124
5113,10.5179
5144,8.62
5173,8.9368
5204,7.9969
5234,7.692
5265,6.953
5295,7.2329
5326,7.2987
5357,7.3991
5387,8.5917
5418,9.7111
5448,10.7278
5479,10.8878
5510,10.109
5538,10.0308
5569,8.7854
5599,8.1684
5630,7.4509
5660,7.3972
5691,7.46
5722,7.9639
5752,8.9585
5783,10.1481
5813,11.3796
5844,11.0386
5875,9.7654
5903,9.3167
5934,8.1464
5964,7.8331
5995,7.3008
6025,7.4569
6056,7.4211
6087,7.7622
6117,9.048
6148,9.9553
6178,10.7079
6209,10.8455
6240,9.3094
6268,10.102
6299,8.9196
6329,8.315
6360,7.4219
6390,7.9237
6421,8.6236
6452,8.5844
6482,10.3569
6513,11.0081
6543,12.1456
6574,12.6596
6605,11.4703
6634,11.32
6665,10.2638
6695,9.7286
6726,8.9138
6756,9.8172
6787,9.9253
6818,9.8777
6848,10.867
6879,11.5952
6909,12.4078
6940,12.3457
6971,11.5028
6999,12.1695
7030,11.2916
7060,10.5054
7091,9.854
7121,10.4084
7152,10.3725
7183,10.4122
7213,11.3239
7244,11.6377
7274,12.908
7305,12.508
7336,11.1611
7364,11.5871
7395,11.1003
7425,10.9631
7456,10.1271
7486,10.5513
7517,10.4668
7548,10.271
7578,11.992
7609,12.135
7639,13.4248
7670,13.25
7701,11.341
7729,12.4856
7760,11.9009
7790,11.3834
7821,10.8104
7851,10.6474
7882,10.5999
7913,10.7973
7943,12.4401
7974,12.9722
