"Quarter","Region","State","Purpose","Trips"
10227,"Adelaide","South Australia","Business",135.0776903
10317,"Adelaide","South Australia","Business",109.987316
10408,"Adelaide","South Australia","Business",166.0346866
10500,"Adelaide","South Australia","Business",127.1604643
10592,"Adelaide","South Australia","Business",137.4485333
10682,"Adelaide","South Australia","Business",199.9125861
10773,"Adelaide","South Australia","Business",169.3550898
10865,"Adelaide","South Australia","Business",134.3579372
10957,"Adelaide","South Australia","Business",154.034398
11048,"Adelaide","South Australia","Business",168.7763637
11139,"Adelaide","South Australia","Business",223.0651159
11231,"Adelaide","South Australia","Business",241.2206893
11323,"Adelaide","South Australia","Business",132.5000378
11413,"Adelaide","South Australia","Business",178.3980945
11504,"Adelaide","South Australia","Business",195.9963258
11596,"Adelaide","South Australia","Business",101.1746931
11688,"Adelaide","South Australia","Business",237.8327914
11778,"Adelaide","South Australia","Business",150.7266327
11869,"Adelaide","South Australia","Business",167.7128424
11961,"Adelaide","South Australia","Business",140.3395127
12053,"Adelaide","South Australia","Business",139.4467919
12143,"Adelaide","South Australia","Business",159.6580081
12234,"Adelaide","South Australia","Business",232.1073047
12326,"Adelaide","South Australia","Business",158.5960175
12418,"Adelaide","South Australia","Business",138.4674189
12509,"Adelaide","South Australia","Business",229.7141455
12600,"Adelaide","South Australia","Business",242.4943675
12692,"Adelaide","South Australia","Business",123.0611006
12784,"Adelaide","South Australia","Business",127.9992552
12874,"Adelaide","South Australia","Business",73.2530124
12965,"Adelaide","South Australia","Business",166.7247035
13057,"Adelaide","South Australia","Business",122.2969489
13149,"Adelaide","South Australia","Business",127.247714
13239,"Adelaide","South Australia","Business",176.075701
13330,"Adelaide","South Australia","Business",157.857561
13422,"Adelaide","South Australia","Business",106.677495
13514,"Adelaide","South Australia","Business",134.3680297
13604,"Adelaide","South Australia","Business",168.5935923
13695,"Adelaide","South Australia","Business",146.1038104
13787,"Adelaide","South Australia","Business",134.5737045
13879,"Adelaide","South Australia","Business",127.1683903
13970,"Adelaide","South Australia","Business",151.9719803
14061,"Adelaide","South Australia","Business",152.2058109
14153,"Adelaide","South Australia","Business",160.6362718
14245,"Adelaide","South Australia","Business",113.8600217
14335,"Adelaide","South Australia","Business",152.7243494
14426,"Adelaide","South Australia","Business",121.9832332
14518,"Adelaide","South Australia","Business",191.1538074
14610,"Adelaide","South Australia","Business",68.7253928
14700,"Adelaide","South Australia","Business",182.18332
14791,"Adelaide","South Australia","Business",120.5336824
14883,"Adelaide","South Australia","Business",155.0707525
14975,"Adelaide","South Australia","Business",109.699807
15065,"Adelaide","South Australia","Business",148.4397274
15156,"Adelaide","South Australia","Business",140.6574624
15248,"Adelaide","South Australia","Business",148.815411
15340,"Adelaide","South Australia","Business",126.8571108
15431,"Adelaide","South Australia","Business",154.920891
15522,"Adelaide","South Australia","Business",150.0191305
15614,"Adelaide","South Australia","Business",178.3637579
15706,"Adelaide","South Australia","Business",101.6471351
15796,"Adelaide","South Australia","Business",100.6409434
