"Month","Animal","State","Count"
2373,"Bulls, bullocks and steers","Australian Capital Territory",2300
2404,"Bulls, bullocks and steers","Australian Capital Territory",2100
2435,"Bulls, bullocks and steers","Australian Capital Territory",2100
2465,"Bulls, bullocks and steers","Australian Capital Territory",1900
2496,"Bulls, bullocks and steers","Australian Capital Territory",2100
2526,"Bulls, bullocks and steers","Australian Capital Territory",1800
2557,"Bulls, bullocks and steers","Australian Capital Territory",1800
2588,"Bulls, bullocks and steers","Australian Capital Territory",1900
2616,"Bulls, bullocks and steers","Australian Capital Territory",2700
2647,"Bulls, bullocks and steers","Australian Capital Territory",2300
2677,"Bulls, bullocks and steers","Australian Capital Territory",2500
2708,"Bulls, bullocks and steers","Australian Capital Territory",2900
2738,"Bulls, bullocks and steers","Australian Capital Territory",2400
2769,"Bulls, bullocks and steers","Australian Capital Territory",2400
2800,"Bulls, bullocks and steers","Australian Capital Territory",2200
2830,"Bulls, bullocks and steers","Australian Capital Territory",2300
2861,"Bulls, bullocks and steers","Australian Capital Territory",2400
2891,"Bulls, bullocks and steers","Australian Capital Territory",2200
2922,"Bulls, bullocks and steers","Australian Capital Territory",2400
2953,"Bulls, bullocks and steers","Australian Capital Territory",2600
2981,"Bulls, bullocks and steers","Australian Capital Territory",2800
3012,"Bulls, bullocks and steers","Australian Capital Territory",2600
3042,"Bulls, bullocks and steers","Australian Capital Territory",2900
3073,"Bulls, bullocks and steers","Australian Capital Territory",3000
3103,"Bulls, bullocks and steers","Australian Capital Territory",2500
3134,"Bulls, bullocks and steers","Australian Capital Territory",2800
3165,"Bulls, bullocks and steers","Australian Capital Territory",2600
3195,"Bulls, bullocks and steers","Australian Capital Territory",2800
3226,"Bulls, bullocks and steers","Australian Capital Territory",2700
3256,"Bulls, bullocks and steers","Australian Capital Territory",2400
3287,"Bulls, bullocks and steers","Australian Capital Territory",2400
3318,"Bulls, bullocks and steers","Australian Capital Territory",2600
3346,"Bulls, bullocks and steers","Australian Capital Territory",2300
3377,"Bulls, bullocks and steers","Australian Capital Territory",1700
3407,"Bulls, bullocks and steers","Australian Capital Territory",2000
3438,"Bulls, bullocks and steers","Australian Capital Territory",2000
3468,"Bulls, bullocks and steers","Australian Capital Territory",1600
3499,"Bulls, bullocks and steers","Australian Capital Territory",1600
3530,"Bulls, bullocks and steers","Australian Capital Territory",2000
3560,"Bulls, bullocks and steers","Australian Capital Territory",2100
3591,"Bulls, bullocks and steers","Australian Capital Territory",2600
3621,"Bulls, bullocks and steers","Australian Capital Territory",2100
3652,"Bulls, bullocks and steers","Australian Capital Territory",3200
3683,"Bulls, bullocks and steers","Australian Capital Territory",2700
3712,"Bulls, bullocks and steers","Australian Capital Territory",2900
3743,"Bulls, bullocks and steers","Australian Capital Territory",2200
3773,"Bulls, bullocks and steers","Australian Capital Territory",2800
3804,"Bulls, bullocks and steers","Australian Capital Territory",2100
3834,"Bulls, bullocks and steers","Australian Capital Territory",1500
3865,"Bulls, bullocks and steers","Australian Capital Territory",2000
3896,"Bulls, bullocks and steers","Australian Capital Territory",2600
3926,"Bulls, bullocks and steers","Australian Capital Territory",2500
3957,"Bulls, bullocks and steers","Australian Capital Territory",2400
3987,"Bulls, bullocks and steers","Australian Capital Territory",1300
4018,"Bulls, bullocks and steers","Australian Capital Territory",1700
4049,"Bulls, bullocks and steers","Australian Capital Territory",2200
4077,"Bulls, bullocks and steers","Australian Capital Territory",1700
4108,"Bulls, bullocks and steers","Australian Capital Territory",2300
4138,"Bulls, bullocks and steers","Australian Capital Territory",1900
4169,"Bulls, bullocks and steers","Australian Capital Territory",1800
4199,"Bulls, bullocks and steers","Australian Capital Territory",1800
4230,"Bulls, bullocks and steers","Australian Capital Territory",2100
4261,"Bulls, bullocks and steers","Australian Capital Territory",2800
4291,"Bulls, bullocks and steers","Australian Capital Territory",3400
4322,"Bulls, bullocks and steers","Australian Capital Territory",1600
4352,"Bulls, bullocks and steers","Australian Capital Territory",1700
4383,"Bulls, bullocks and steers","Australian Capital Territory",2900
4414,"Bulls, bullocks and steers","Australian Capital Territory",2900
4442,"Bulls, bullocks and steers","Australian Capital Territory",2700
4473,"Bulls, bullocks and steers","Australian Capital Territory",1800
4503,"Bulls, bullocks and steers","Australian Capital Territory",2100
4534,"Bulls, bullocks and steers","Australian Capital Territory",2400
4564,"Bulls, bullocks and steers","Australian Capital Territory",2400
4595,"Bulls, bullocks and steers","Australian Capital Territory",700
4626,"Bulls, bullocks and steers","Australian Capital Territory",0
4656,"Bulls, bullocks and steers","Australian Capital Territory",0
4687,"Bulls, bullocks and steers","Australian Capital Territory",900
4717,"Bulls, bullocks and steers","Australian Capital Territory",500
4748,"Bulls, bullocks and steers","Australian Capital Territory",1400
4779,"Bulls, bullocks and steers","Australian Capital Territory",1400
4807,"Bulls, bullocks and steers","Australian Capital Territory",1200
4838,"Bulls, bullocks and steers","Australian Capital Territory",1100
4868,"Bulls, bullocks and steers","Australian Capital Territory",900
4899,"Bulls, bullocks and steers","Australian Capital Territory",1100
4929,"Bulls, bullocks and steers","Australian Capital Territory",1000
4960,"Bulls, bullocks and steers","Australian Capital Territory",1300
4991,"Bulls, bullocks and steers","Australian Capital Territory",1400
5021,"Bulls, bullocks and steers","Australian Capital Territory",1300
5052,"Bulls, bullocks and steers","Australian Capital Territory",1800
5082,"Bulls, bullocks and steers","Australian Capital Territory",1500
5113,"Bulls, bullocks and steers","Australian Capital Territory",1800
5144,"Bulls, bullocks and steers","Australian Capital Territory",2000
5173,"Bulls, bullocks and steers","Australian Capital Territory",2100
5204,"Bulls, bullocks and steers","Australian Capital Territory",1600
5234,"Bulls, bullocks and steers","Australian Capital Territory",2300
5265,"Bulls, bullocks and steers","Australian Capital Territory",2000
5295,"Bulls, bullocks and steers","Australian Capital Territory",1900
5326,"Bulls, bullocks and steers","Australian Capital Territory",2200
5357,"Bulls, bullocks and steers","Australian Capital Territory",1500
5387,"Bulls, bullocks and steers","Australian Capital Territory",1900
5418,"Bulls, bullocks and steers","Australian Capital Territory",2000
5448,"Bulls, bullocks and steers","Australian Capital Territory",1300
5479,"Bulls, bullocks and steers","Australian Capital Territory",1800
5510,"Bulls, bullocks and steers","Australian Capital Territory",1400
5538,"Bulls, bullocks and steers","Australian Capital Territory",1600
5569,"Bulls, bullocks and steers","Australian Capital Territory",1400
5599,"Bulls, bullocks and steers","Australian Capital Territory",1300
5630,"Bulls, bullocks and steers","Australian Capital Territory",1100
5660,"Bulls, bullocks and steers","Australian Capital Territory",1300
5691,"Bulls, bullocks and steers","Australian Capital Territory",1200
5722,"Bulls, bullocks and steers","Australian Capital Territory",1400
5752,"Bulls, bullocks and steers","Australian Capital Territory",2000
5783,"Bulls, bullocks and steers","Australian Capital Territory",1700
5813,"Bulls, bullocks and steers","Australian Capital Territory",1800
5844,"Bulls, bullocks and steers","Australian Capital Territory",2000
5875,"Bulls, bullocks and steers","Australian Capital Territory",1800
5903,"Bulls, bullocks and steers","Australian Capital Territory",1800
5934,"Bulls, bullocks and steers","Australian Capital Territory",2300
5964,"Bulls, bullocks and steers","Australian Capital Territory",1800
5995,"Bulls, bullocks and steers","Australian Capital Territory",2200
6025,"Bulls, bullocks and steers","Australian Capital Territory",2300
6056,"Bulls, bullocks and steers","Australian Capital Territory",1600
6087,"Bulls, bullocks and steers","Australian Capital Territory",2000
6117,"Bulls, bullocks and steers","Australian Capital Territory",1600
6148,"Bulls, bullocks and steers","Australian Capital Territory",1500
6178,"Bulls, bullocks and steers","Australian Capital Territory",2200
6209,"Bulls, bullocks and steers","Australian Capital Territory",1800
6240,"Bulls, bullocks and steers","Australian Capital Territory",1800
6268,"Bulls, bullocks and steers","Australian Capital Territory",1700
6299,"Bulls, bullocks and steers","Australian Capital Territory",2200
6329,"Bulls, bullocks and steers","Australian Capital Territory",1900
6360,"Bulls, bullocks and steers","Australian Capital Territory",1900
6390,"Bulls, bullocks and steers","Australian Capital Territory",2300
6421,"Bulls, bullocks and steers","Australian Capital Territory",1400
6452,"Bulls, bullocks and steers","Australian Capital Territory",2000
6482,"Bulls, bullocks and steers","Australian Capital Territory",1900
6513,"Bulls, bullocks and steers","Australian Capital Territory",2300
6543,"Bulls, bullocks and steers","Australian Capital Territory",2300
6574,"Bulls, bullocks and steers","Australian Capital Territory",1800
6605,"Bulls, bullocks and steers","Australian Capital Territory",2300
6634,"Bulls, bullocks and steers","Australian Capital Territory",2600
6665,"Bulls, bullocks and steers","Australian Capital Territory",1900
6695,"Bulls, bullocks and steers","Australian Capital Territory",1800
6726,"Bulls, bullocks and steers","Australian Capital Territory",2200
6756,"Bulls, bullocks and steers","Australian Capital Territory",2300
6787,"Bulls, bullocks and steers","Australian Capital Territory",3100
6818,"Bulls, bullocks and steers","Australian Capital Territory",2400
6848,"Bulls, bullocks and steers","Australian Capital Territory",2300
6879,"Bulls, bullocks and steers","Australian Capital Territory",3100
6909,"Bulls, bullocks and steers","Australian Capital Territory",2300
6940,"Bulls, bullocks and steers","Australian Capital Territory",2300
6971,"Bulls, bullocks and steers","Australian Capital Territory",2700
6999,"Bulls, bullocks and steers","Australian Capital Territory",3400
7030,"Bulls, bullocks and steers","Australian Capital Territory",2700
7060,"Bulls, bullocks and steers","Australian Capital Territory",3200
7091,"Bulls, bullocks and steers","Australian Capital Territory",2500
7121,"Bulls, bullocks and steers","Australian Capital Territory",2200
7152,"Bulls, bullocks and steers","Australian Capital Territory",2800
7183,"Bulls, bullocks and steers","Australian Capital Territory",2500
7213,"Bulls, bullocks and steers","Australian Capital Territory",2700
7244,"Bulls, bullocks and steers","Australian Capital Territory",4100
7274,"Bulls, bullocks and steers","Australian Capital Territory",2900
7305,"Bulls, bullocks and steers","Australian Capital Territory",3700
7336,"Bulls, bullocks and steers","Australian Capital Territory",2800
7364,"Bulls, bullocks and steers","Australian Capital Territory",3100
7395,"Bulls, bullocks and steers","Australian Capital Territory",2300
7425,"Bulls, bullocks and steers","Australian Capital Territory",3000
7456,"Bulls, bullocks and steers","Australian Capital Territory",2500
7486,"Bulls, bullocks and steers","Australian Capital Territory",2900
7517,"Bulls, bullocks and steers","Australian Capital Territory",2800
7548,"Bulls, bullocks and steers","Australian Capital Territory",2500
7578,"Bulls, bullocks and steers","Australian Capital Territory",2900
7609,"Bulls, bullocks and steers","Australian Capital Territory",3000
7639,"Bulls, bullocks and steers","Australian Capital Territory",2700
7670,"Bulls, bullocks and steers","Australian Capital Territory",2200
7701,"Bulls, bullocks and steers","Australian Capital Territory",2600
7729,"Bulls, bullocks and steers","Australian Capital Territory",2200
7760,"Bulls, bullocks and steers","Australian Capital Territory",2600
7790,"Bulls, bullocks and steers","Australian Capital Territory",3600
7821,"Bulls, bullocks and steers","Australian Capital Territory",2500
7851,"Bulls, bullocks and steers","Australian Capital Territory",0
7882,"Bulls, bullocks and steers","Australian Capital Territory",0
7913,"Bulls, bullocks and steers","Australian Capital Territory",2500
7943,"Bulls, bullocks and steers","Australian Capital Territory",3000
7974,"Bulls, bullocks and steers","Australian Capital Territory",2400
8004,"Bulls, bullocks and steers","Australian Capital Territory",2300
8035,"Bulls, bullocks and steers","Australian Capital Territory",3100
8066,"Bulls, bullocks and steers","Australian Capital Territory",2500
8095,"Bulls, bullocks and steers","Australian Capital Territory",2400
8126,"Bulls, bullocks and steers","Australian Capital Territory",3000
8156,"Bulls, bullocks and steers","Australian Capital Territory",2800
8187,"Bulls, bullocks and steers","Australian Capital Territory",2500
8217,"Bulls, bullocks and steers","Australian Capital Territory",3000
8248,"Bulls, bullocks and steers","Australian Capital Territory",2200
8279,"Bulls, bullocks and steers","Australian Capital Territory",2600
8309,"Bulls, bullocks and steers","Australian Capital Territory",2000
8340,"Bulls, bullocks and steers","Australian Capital Territory",0
8370,"Bulls, bullocks and steers","Australian Capital Territory",2500
8401,"Bulls, bullocks and steers","Australian Capital Territory",2300
8432,"Bulls, bullocks and steers","Australian Capital Territory",2700
8460,"Bulls, bullocks and steers","Australian Capital Territory",3400
8491,"Bulls, bullocks and steers","Australian Capital Territory",2700
8521,"Bulls, bullocks and steers","Australian Capital Territory",3300
8552,"Bulls, bullocks and steers","Australian Capital Territory",4000
8582,"Bulls, bullocks and steers","Australian Capital Territory",3100
8613,"Bulls, bullocks and steers","Australian Capital Territory",0
8644,"Bulls, bullocks and steers","Australian Capital Territory",0
8674,"Bulls, bullocks and steers","Australian Capital Territory",0
8705,"Bulls, bullocks and steers","Australian Capital Territory",0
8735,"Bulls, bullocks and steers","Australian Capital Territory",0
8766,"Bulls, bullocks and steers","Australian Capital Territory",0
8797,"Bulls, bullocks and steers","Australian Capital Territory",0
8825,"Bulls, bullocks and steers","Australian Capital Territory",0
8856,"Bulls, bullocks and steers","Australian Capital Territory",0
8886,"Bulls, bullocks and steers","Australian Capital Territory",0
8917,"Bulls, bullocks and steers","Australian Capital Territory",0
8947,"Bulls, bullocks and steers","Australian Capital Territory",0
8978,"Bulls, bullocks and steers","Australian Capital Territory",0
9009,"Bulls, bullocks and steers","Australian Capital Territory",0
9039,"Bulls, bullocks and steers","Australian Capital Territory",0
9070,"Bulls, bullocks and steers","Australian Capital Territory",0
9100,"Bulls, bullocks and steers","Australian Capital Territory",0
9131,"Bulls, bullocks and steers","Australian Capital Territory",0
9162,"Bulls, bullocks and steers","Australian Capital Territory",0
9190,"Bulls, bullocks and steers","Australian Capital Territory",0
9221,"Bulls, bullocks and steers","Australian Capital Territory",0
9251,"Bulls, bullocks and steers","Australian Capital Territory",0
9282,"Bulls, bullocks and steers","Australian Capital Territory",0
9312,"Bulls, bullocks and steers","Australian Capital Territory",0
9343,"Bulls, bullocks and steers","Australian Capital Territory",0
9374,"Bulls, bullocks and steers","Australian Capital Territory",0
9404,"Bulls, bullocks and steers","Australian Capital Territory",0
9435,"Bulls, bullocks and steers","Australian Capital Territory",0
9465,"Bulls, bullocks and steers","Australian Capital Territory",0
9496,"Bulls, bullocks and steers","Australian Capital Territory",0
9527,"Bulls, bullocks and steers","Australian Capital Territory",0
9556,"Bulls, bullocks and steers","Australian Capital Territory",0
9587,"Bulls, bullocks and steers","Australian Capital Territory",0
9617,"Bulls, bullocks and steers","Australian Capital Territory",0
9648,"Bulls, bullocks and steers","Australian Capital Territory",0
9678,"Bulls, bullocks and steers","Australian Capital Territory",0
9709,"Bulls, bullocks and steers","Australian Capital Territory",0
9740,"Bulls, bullocks and steers","Australian Capital Territory",0
9770,"Bulls, bullocks and steers","Australian Capital Territory",0
9801,"Bulls, bullocks and steers","Australian Capital Territory",0
9831,"Bulls, bullocks and steers","Australian Capital Territory",0
9862,"Bulls, bullocks and steers","Australian Capital Territory",0
9893,"Bulls, bullocks and steers","Australian Capital Territory",0
9921,"Bulls, bullocks and steers","Australian Capital Territory",0
9952,"Bulls, bullocks and steers","Australian Capital Territory",0
9982,"Bulls, bullocks and steers","Australian Capital Territory",0
10013,"Bulls, bullocks and steers","Australian Capital Territory",0
10043,"Bulls, bullocks and steers","Australian Capital Territory",0
10074,"Bulls, bullocks and steers","Australian Capital Territory",0
10105,"Bulls, bullocks and steers","Australian Capital Territory",0
10135,"Bulls, bullocks and steers","Australian Capital Territory",0
10166,"Bulls, bullocks and steers","Australian Capital Territory",0
10196,"Bulls, bullocks and steers","Australian Capital Territory",0
10227,"Bulls, bullocks and steers","Australian Capital Territory",0
10258,"Bulls, bullocks and steers","Australian Capital Territory",0
10286,"Bulls, bullocks and steers","Australian Capital Territory",0
10317,"Bulls, bullocks and steers","Australian Capital Territory",0
10347,"Bulls, bullocks and steers","Australian Capital Territory",0
10378,"Bulls, bullocks and steers","Australian Capital Territory",0
10408,"Bulls, bullocks and steers","Australian Capital Territory",0
10439,"Bulls, bullocks and steers","Australian Capital Territory",0
10470,"Bulls, bullocks and steers","Australian Capital Territory",0
10500,"Bulls, bullocks and steers","Australian Capital Territory",0
10531,"Bulls, bullocks and steers","Australian Capital Territory",0
10561,"Bulls, bullocks and steers","Australian Capital Territory",0
10592,"Bulls, bullocks and steers","Australian Capital Territory",0
10623,"Bulls, bullocks and steers","Australian Capital Territory",0
10651,"Bulls, bullocks and steers","Australian Capital Territory",0
10682,"Bulls, bullocks and steers","Australian Capital Territory",0
10712,"Bulls, bullocks and steers","Australian Capital Territory",0
10743,"Bulls, bullocks and steers","Australian Capital Territory",0
10773,"Bulls, bullocks and steers","Australian Capital Territory",0
10804,"Bulls, bullocks and steers","Australian Capital Territory",0
10835,"Bulls, bullocks and steers","Australian Capital Territory",0
10865,"Bulls, bullocks and steers","Australian Capital Territory",0
10896,"Bulls, bullocks and steers","Australian Capital Territory",0
10926,"Bulls, bullocks and steers","Australian Capital Territory",0
10957,"Bulls, bullocks and steers","Australian Capital Territory",0
10988,"Bulls, bullocks and steers","Australian Capital Territory",0
11017,"Bulls, bullocks and steers","Australian Capital Territory",0
11048,"Bulls, bullocks and steers","Australian Capital Territory",0
11078,"Bulls, bullocks and steers","Australian Capital Territory",0
11109,"Bulls, bullocks and steers","Australian Capital Territory",0
11139,"Bulls, bullocks and steers","Australian Capital Territory",0
11170,"Bulls, bullocks and steers","Australian Capital Territory",0
11201,"Bulls, bullocks and steers","Australian Capital Territory",0
11231,"Bulls, bullocks and steers","Australian Capital Territory",0
11262,"Bulls, bullocks and steers","Australian Capital Territory",0
11292,"Bulls, bullocks and steers","Australian Capital Territory",0
